gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000007084_Marchf10	0.40	0.61	0.00	0.07	0.36
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	27.21	5.40	0.14	0.09	24.78
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	69.88	108.01	86.22	81.78	68.88
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	122.03	110.64	92.82	118.75	127.51
ENSRNOG00000004647_Il10	0.00	0.00	0.29	0.00	0.00
ENSRNOG00000046681_AABR07017769.1	0.00	4.04	0.00	1.93	2.41
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	0.91	0.00	0.13	0.08	0.65
ENSRNOG00000053472_AABR07071487.1	0.34	0.00	0.27	0.00	0.38
ENSRNOG00000059889_AC120291.4	0.00	0.00	0.00	0.21	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	520.40	763.81	325.32	422.60	478.42
ENSRNOG00000057703_Cabp7	0.02	0.05	0.04	0.00	0.14
ENSRNOG00000054723_AABR07058174.1	0.00	0.12	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	0.00	0.00	0.08	0.09	0.20
ENSRNOG00000061180_AABR07026377.1	0.13	0.35	0.00	0.65	0.60
ENSRNOG00000058819_AABR07056767.1	0.00	0.06	0.06	0.07	0.08
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	0.00	0.00	0.00	0.17	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	0.00	0.00	0.00	0.06	0.64
ENSRNOG00000021916_Slc16a12	3.86	0.23	70.27	76.72	3.26
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	0.43	0.28	0.19	0.47	0.51
ENSRNOG00000047453_Casd1	1.70	0.18	1.11	1.84	3.37
ENSRNOG00000059982_LOC100910599	0.00	0.20	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	2.88	0.26	2.71	2.14	4.27
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	0.22	0.00	1.29	1.24	0.24
ENSRNOG00000056985_U4	50.40	33.15	0.00	0.00	31.52
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	12.70	1.29	2.48	4.40	9.88
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	0.00	0.61
ENSRNOG00000017983_Ubac1	76.91	38.88	48.81	64.40	73.31
ENSRNOG00000029461_AABR07072400.1	2.79	4.21	0.00	5.35	5.39
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	0.13	0.08	0.00	0.60
ENSRNOG00000015865_Ap2s1	87.63	150.78	45.81	64.32	108.99
ENSRNOG00000031092_Rock1	10.23	8.55	6.35	5.76	11.56
ENSRNOG00000000658_Acacb	0.22	0.04	5.60	6.73	0.38
ENSRNOG00000009043_Piwil4	0.58	1.32	0.28	0.40	0.61
ENSRNOG00000050226_AABR07032277.1	0.00	0.62	0.00	2.25	1.73
ENSRNOG00000028366_Gphn	20.15	3.72	26.67	33.88	19.43
ENSRNOG00000060629_LOC103694855	0.00	16.91	16.28	3.12	0.00
ENSRNOG00000053500_AABR07046970.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006180_Pum2	18.81	12.28	17.27	15.14	16.49
ENSRNOG00000006170_Bach2	0.06	0.00	0.11	0.02	0.02
ENSRNOG00000030870_LOC102550396	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000025862_Zp3r	0.00	0.00	0.00	0.04	0.00
ENSRNOG00000002452_Txndc11	3.99	1.41	1.59	2.59	7.49
ENSRNOG00000000104_Thoc3	22.29	5.58	14.36	24.59	20.55
ENSRNOG00000051809_AC095267.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052516_AABR07034964.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042727_RGD1563159	3.58	2.60	1.85	1.65	4.87
ENSRNOG00000014982_Slc35f4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000027360_Srsf7	108.01	85.45	102.12	111.38	96.66
ENSRNOG00000025639_Slc39a12	0.00	0.00	0.12	0.00	0.00
ENSRNOG00000057978_AABR07028997.1	8.61	0.00	7.27	7.32	7.22
ENSRNOG00000004604_Slc38a10	13.25	0.45	18.99	21.21	7.77
ENSRNOG00000004004_Nrde2	0.94	0.50	1.51	1.03	1.80
ENSRNOG00000051428	0.00	0.00	0.00	0.00	0.00
