gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000030954_Fat1	2.62	1.47	2.06	2.64	3.18
ENSRNOG00000007084_Marchf10	0.08	0.97	0.45	0.38	0.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	0.10	8.59	30.26	26.36	0.16
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	92.22	171.95	77.71	73.28	99.16
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	133.91	176.13	135.70	135.66	106.75
ENSRNOG00000004647_Il10	0.00	0.00	0.00	0.00	0.33
ENSRNOG00000046681_AABR07017769.1	2.17	6.43	0.00	2.57	0.00
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	0.09	0.00	1.01	0.70	0.15
ENSRNOG00000053472_AABR07071487.1	0.00	0.00	0.38	0.40	0.31
ENSRNOG00000059889_AC120291.4	0.24	0.00	0.00	0.00	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	476.57	1215.91	578.72	509.01	374.16
ENSRNOG00000057703_Cabp7	0.00	0.08	0.03	0.14	0.05
ENSRNOG00000054723_AABR07058174.1	0.00	0.19	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	0.11	0.00	0.00	0.21	0.09
ENSRNOG00000061180_AABR07026377.1	0.74	0.55	0.14	0.63	0.00
ENSRNOG00000058819_AABR07056767.1	0.08	0.09	0.00	0.08	0.07
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	0.19	0.00	0.00	0.00	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	0.07	0.00	0.00	0.69	0.00
ENSRNOG00000021916_Slc16a12	86.52	0.36	4.29	3.46	80.82
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	0.53	0.45	0.48	0.54	0.21
ENSRNOG00000047453_Casd1	2.07	0.28	1.89	3.58	1.28
ENSRNOG00000059982_LOC100910599	0.00	0.31	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	2.42	0.41	3.20	4.54	3.11
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	1.40	0.00	0.25	0.25	1.49
ENSRNOG00000056985_U4	0.00	52.77	56.05	33.53	0.00
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	4.96	2.05	14.13	10.51	2.85
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	0.65	0.00
ENSRNOG00000017983_Ubac1	72.62	61.89	85.53	77.99	56.14
ENSRNOG00000029461_AABR07072400.1	6.03	6.71	3.10	5.73	0.00
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	0.20	0.00	0.63	0.09
ENSRNOG00000015865_Ap2s1	72.54	240.02	97.45	115.96	52.69
ENSRNOG00000031092_Rock1	6.50	13.61	11.38	12.30	7.31
ENSRNOG00000000658_Acacb	7.59	0.07	0.24	0.41	6.44
ENSRNOG00000009043_Piwil4	0.45	2.10	0.64	0.65	0.32
ENSRNOG00000050226_AABR07032277.1	2.54	0.98	0.00	1.85	0.00
ENSRNOG00000028366_Gphn	38.21	5.92	22.40	20.67	30.68
ENSRNOG00000060629_LOC103694855	3.52	26.91	0.00	0.00	18.72
ENSRNOG00000053500_AABR07046970.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006180_Pum2	17.08	19.54	20.92	17.54	19.86
ENSRNOG00000006170_Bach2	0.02	0.00	0.07	0.02	0.13
ENSRNOG00000030870_LOC102550396	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000025862_Zp3r	0.04	0.00	0.00	0.00	0.00
ENSRNOG00000002452_Txndc11	2.93	2.24	4.44	7.97	1.83
ENSRNOG00000000104_Thoc3	27.73	8.89	24.79	21.86	16.52
ENSRNOG00000051809_AC095267.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052516_AABR07034964.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042727_RGD1563159	1.86	4.14	3.98	5.19	2.13
ENSRNOG00000014982_Slc35f4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000027360_Srsf7	125.60	136.03	120.12	102.84	117.45
ENSRNOG00000025639_Slc39a12	0.00	0.00	0.00	0.00	0.14
ENSRNOG00000057978_AABR07028997.1	8.25	0.00	9.58	7.68	8.37
ENSRNOG00000004604_Slc38a10	23.92	0.71	14.74	8.27	21.84
ENSRNOG00000004004_Nrde2	1.17	0.79	1.04	1.92	1.74
ENSRNOG00000051428	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015807_Pyroxd2	140.61	9.87	28.71	25.31	132.71
ENSRNOG00000037185_AABR07058514.1	0.68	0.00	0.68	0.55	0.00
ENSRNOG00000052094_AABR07021392.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000003233_Serpinf2	3.22	0.00	0.31	1.92	15.01
ENSRNOG00000005278_Trhde	0.08	0.04	0.04	0.14	0.01
ENSRNOG00000028930_Dab2	35.65	39.97	172.56	118.41	67.34
ENSRNOG00000003401_AABR07029195.1	0.14	0.93	0.13	0.28	0.36
ENSRNOG00000060609_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060084_AC096035.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042424_Olr880	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046569_AABR07037477.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029340_Btnl8	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060542_Mid2	1.14	1.85	2.40	2.18	0.68
ENSRNOG00000057932_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054475_AABR07068007.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000022141_Ctdspl2	7.25	4.13	4.73	3.64	4.66
ENSRNOG00000015852_Arhgap35	5.98	4.03	7.59	9.86	5.97
ENSRNOG00000061080_Kmt2c	5.34	1.35	8.55	8.78	3.42
ENSRNOG00000036370_AABR07016769.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000001139_Suds3	3.37	11.20	7.00	12.17	3.35
ENSRNOG00000047226_AABR07017656.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013654_Cbln2	0.10	0.13	0.00	0.03	0.00
ENSRNOG00000032097_AABR07008025.1	0.49	0.00	0.00	0.00	0.00
ENSRNOG00000052827_AABR07052085.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000028403_Ptcd2	21.78	16.89	18.36	12.24	21.26
ENSRNOG00000052644_AABR07001060.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054228_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000008607_U2surp	18.10	12.84	20.45	19.84	14.84
ENSRNOG00000057356_AABR07072112.1	0.00	0.00	0.00	0.12	0.00
ENSRNOG00000006010_Slc6a20	2.32	1.46	17.97	11.09	8.39
ENSRNOG00000029054_Olr1128	0.00	1.37	0.00	0.00	0.00
ENSRNOG00000052360_LOC103694879	0.93	1.35	0.00	0.00	0.00
ENSRNOG00000058733_Asap1	2.06	0.07	0.36	1.40	1.78
ENSRNOG00000032771_AABR07064811.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018877_Zfp629	14.82	3.19	7.54	7.94	10.31
ENSRNOG00000056632_AABR07030568.6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016322_Camk2n1	1.53	9.21	0.00	7.27	1.87
ENSRNOG00000056615_AABR07063640.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006697_Pip4p2	32.64	53.43	78.89	60.29	30.82
ENSRNOG00000039214_Map11	0.49	0.77	1.24	1.82	0.66
ENSRNOG00000028161_Tepsin	8.68	5.27	9.25	7.75	5.70
ENSRNOG00000004104_Zkscan7	1.03	1.11	0.91	1.83	0.74
ENSRNOG00000059322_N4bp2l1	1.00	1.39	1.46	0.71	1.19
ENSRNOG00000057920_AABR07006656.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002524_Gpr37	0.30	3.47	7.34	5.47	0.47
ENSRNOG00000048904_AABR07004232.1	3.06	2.11	0.33	1.84	0.55
ENSRNOG00000007763_Plod1	6.43	0.61	2.22	2.17	3.46
ENSRNOG00000009291_Dnase1l3	0.00	0.00	0.17	0.12	0.00
ENSRNOG00000057627_U2	0.00	12.05	0.00	0.00	0.00
ENSRNOG00000056432_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014908_Sf3b5	223.57	337.66	211.57	189.60	194.93
ENSRNOG00000015160_Gem	5.22	0.84	0.74	0.93	4.99
