gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000013078_Zcchc7	311.00	318.00	641.00	460.00	330.00
ENSRNOG00000054184_U2	0.00	4.00	0.50	1.00	0.00
ENSRNOG00000004453_AABR07057250.1	0.00	2.00	0.00	2.17	0.00
ENSRNOG00000050219_AABR07003935.11	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054115_SNORA70	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061587_Metap1d	130.00	132.00	153.00	173.00	144.00
ENSRNOG00000056129_LOC102554659	2.83	0.00	1.57	0.00	0.00
ENSRNOG00000061745_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061108_Arcn1	5105.00	1279.00	6385.00	4388.00	5194.00
ENSRNOG00000056902_AABR07054119.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016659_Habp2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051776_AABR07053412.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007509_Slc1a6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031927_Klk6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020321_Nop9	30.00	64.00	193.00	309.00	48.00
ENSRNOG00000049147_AABR07067099.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000036504_AABR07064349.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061674_AABR07006763.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013532_Pgam2	8.00	410.00	775.00	400.00	14.00
ENSRNOG00000027606_Neurl1b	0.00	0.00	2.00	2.00	1.00
ENSRNOG00000058471_AABR07014897.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000023410_Apol9a	28.00	5.00	35.00	15.00	60.00
ENSRNOG00000004262_LOC102546716	12.90	8.89	23.69	35.24	7.40
ENSRNOG00000038905_AABR07048397.1	30.75	34.38	122.72	30.79	80.30
ENSRNOG00000003622_Cybb	450.00	31.00	193.00	97.00	1175.00
ENSRNOG00000018952_Sema3g	4.00	0.00	1.00	0.00	0.00
