gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000030954_Fat1	503.00	334.00	828.00	574.00	570.00
ENSRNOG00000007084_Marchf10	20.00	40.00	0.00	3.00	15.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	350.00	95.00	2.00	1.00	279.00
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	1241.00	2596.00	1690.00	1319.00	1059.00
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	1408.00	1755.00	1186.00	1245.00	1294.00
ENSRNOG00000004647_Il10	0.00	0.00	2.00	0.00	0.00
ENSRNOG00000046681_AABR07017769.1	0.00	5.79	0.00	1.50	2.50
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	26.00	0.00	4.00	2.00	16.00
ENSRNOG00000053472_AABR07071487.1	4.64	0.00	4.08	0.00	3.06
ENSRNOG00000059889_AC120291.4	0.00	0.00	0.00	4.00	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	4618.00	9445.00	3206.00	3409.00	3784.00
ENSRNOG00000057703_Cabp7	1.03	3.13	2.06	0.00	5.21
ENSRNOG00000054723_AABR07058174.1	0.00	2.00	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	0.00	0.00	2.00	2.00	4.00
ENSRNOG00000061180_AABR07026377.1	3.01	11.00	0.00	14.00	12.09
ENSRNOG00000058819_AABR07056767.1	0.00	7.00	6.00	6.00	6.00
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	0.00	0.00	0.00	2.00	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	1.00	0.00	0.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	0.00	0.00	0.00	1.00	10.00
ENSRNOG00000021916_Slc16a12	218.00	17.00	4362.00	3933.00	156.00
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	30.00	53.00	29.00	36.00	26.00
ENSRNOG00000047453_Casd1	65.00	9.00	47.00	64.00	110.00
ENSRNOG00000059982_LOC100910599	0.00	3.00	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	151.00	18.00	156.00	102.00	190.00
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	1.00	0.00	7.00	4.00	1.00
ENSRNOG00000056985_U4	1.00	1.27	0.00	0.00	1.00
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	662.00	89.00	142.00	208.00	437.00
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	0.00	3.00
ENSRNOG00000017983_Ubac1	2106.00	1426.00	1472.00	1601.00	1720.00
ENSRNOG00000029461_AABR07072400.1	5.23	12.58	0.00	9.23	10.77
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	2.00	1.00	0.00	6.00
ENSRNOG00000015865_Ap2s1	925.00	2197.00	536.00	617.00	1016.00
ENSRNOG00000031092_Rock1	1011.00	1181.00	730.00	547.00	971.00
ENSRNOG00000000658_Acacb	36.00	9.00	1006.00	1000.00	53.00
ENSRNOG00000009043_Piwil4	30.00	91.00	16.00	19.00	27.00
ENSRNOG00000050226_AABR07032277.1	0.00	1.00	0.00	2.00	2.00
ENSRNOG00000028366_Gphn	849.00	218.00	1259.00	1309.00	703.00
ENSRNOG00000060629_LOC103694855	0.00	150.22	113.07	17.68	0.00
ENSRNOG00000053500_AABR07046970.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006180_Pum2	1670.00	1737.00	1840.00	1277.00	1310.00
ENSRNOG00000006170_Bach2	4.00	0.00	8.00	1.00	1.00
ENSRNOG00000030870_LOC102550396	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000025862_Zp3r	0.00	0.00	0.00	1.00	0.00
ENSRNOG00000002452_Txndc11	205.00	96.00	90.00	121.00	327.00
ENSRNOG00000000104_Thoc3	742.00	248.00	526.00	743.00	584.00
ENSRNOG00000051809_AC095267.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052516_AABR07034964.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042727_RGD1563159	19.00	20.00	11.00	8.00	24.00
ENSRNOG00000014982_Slc35f4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000027360_Srsf7	1421.97	1537.98	1486.99	1332.00	1112.97
ENSRNOG00000025639_Slc39a12	0.00	0.00	6.00	0.00	0.00
ENSRNOG00000057978_AABR07028997.1	38.11	0.00	36.14	29.52	30.15
ENSRNOG00000004604_Slc38a10	853.00	38.00	1343.00	1239.00	424.00
ENSRNOG00000004004_Nrde2	57.00	40.00	101.00	57.00	93.00
ENSRNOG00000051428	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015807_Pyroxd2	788.00	253.00	3877.00	3455.00	621.00
ENSRNOG00000037185_AABR07058514.1	1.12	0.00	0.00	1.03	1.01
ENSRNOG00000052094_AABR07021392.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000003233_Serpinf2	11.00	0.00	559.00	101.00	60.00
ENSRNOG00000005278_Trhde	4.00	4.00	1.00	8.00	13.00
ENSRNOG00000028930_Dab2	6620.00	1425.00	2747.00	1224.00	4040.00
ENSRNOG00000003401_AABR07029195.1	1.01	7.04	3.05	1.01	2.04
ENSRNOG00000060609_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060084_AC096035.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042424_Olr880	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046569_AABR07037477.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029340_Btnl8	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060542_Mid2	218.00	155.00	66.00	93.00	175.00
ENSRNOG00000057932_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054475_AABR07068007.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000022141_Ctdspl2	216.00	206.00	222.00	316.00	136.00
ENSRNOG00000015852_Arhgap35	1034.00	505.00	863.00	729.00	1184.00
ENSRNOG00000061080_Kmt2c	648.69	115.00	436.06	352.80	752.14
ENSRNOG00000036370_AABR07016769.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000001139_Suds3	216.00	322.00	110.00	93.00	335.00
ENSRNOG00000047226_AABR07017656.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013654_Cbln2	0.00	4.00	0.00	3.00	1.00
ENSRNOG00000032097_AABR07008025.1	0.00	0.00	0.00	1.00	0.00
ENSRNOG00000052827_AABR07052085.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000028403_Ptcd2	420.00	362.00	518.00	446.00	251.00
ENSRNOG00000052644_AABR07001060.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054228_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000008607_U2surp	944.00	549.00	725.00	746.00	811.00
ENSRNOG00000057356_AABR07072112.1	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000006010_Slc6a20	490.00	37.00	276.00	60.00	273.00
ENSRNOG00000029054_Olr1128	0.00	13.00	0.00	0.00	0.00
ENSRNOG00000052360_LOC103694879	0.00	4.72	0.00	2.81	0.00
ENSRNOG00000058733_Asap1	18.00	3.00	92.00	92.00	60.00
ENSRNOG00000032771_AABR07064811.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018877_Zfp629	423.00	198.00	719.00	847.00	440.00
ENSRNOG00000056632_AABR07030568.6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016322_Camk2n1	0.00	15.00	3.00	2.00	12.00
ENSRNOG00000056615_AABR07063640.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006697_Pip4p2	2797.00	1762.00	1162.00	1036.00	1903.00
ENSRNOG00000039214_Map11	129.84	74.05	73.03	45.69	161.68
ENSRNOG00000028161_Tepsin	380.00	201.00	249.00	319.00	283.00
ENSRNOG00000004104_Zkscan7	69.00	78.00	60.00	70.00	123.00
ENSRNOG00000059322_N4bp2l1	44.00	39.00	38.00	27.00	19.00
ENSRNOG00000057920_AABR07006656.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002524_Gpr37	354.00	155.00	24.00	13.00	234.00
ENSRNOG00000048904_AABR07004232.1	6.00	36.27	10.64	49.92	30.23
ENSRNOG00000007763_Plod1	98.00	25.00	162.00	254.00	85.00
ENSRNOG00000009291_Dnase1l3	3.00	0.00	0.00	0.00	2.00
ENSRNOG00000057627_U2	0.00	1.00	0.00	0.00	0.00
ENSRNOG00000056432_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014908_Sf3b5	1287.00	2036.00	1278.00	1220.00	1094.00
ENSRNOG00000015160_Gem	16.00	17.00	115.00	101.00	18.00
ENSRNOG00000055743_U3	7.64	42.87	7.00	2.39	23.00
ENSRNOG00000014004_Ncoa7	343.00	96.00	456.00	240.00	364.00
ENSRNOG00000001349_Mcm7	503.00	164.00	564.00	661.00	638.00
ENSRNOG00000032300_Rpl39l	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050235_Olr1436	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059900_Bst2	5.00	16.00	38.00	13.00	9.00
ENSRNOG00000051339_AABR07039328.3	10.00	2.00	3.00	4.00	2.00
ENSRNOG00000017074_Rab28	3091.00	1963.00	2465.00	2304.00	2263.00
ENSRNOG00000033402_Gsta6	184.00	197.00	479.00	285.00	134.00
ENSRNOG00000052337_7SK	0.00	0.00	1.00	0.00	0.00
ENSRNOG00000037206_Ccdc77	314.00	291.00	445.00	276.00	63.00
ENSRNOG00000018202_Spata31a5	1.00	0.00	3.00	1.00	11.00
