gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000030954_Fat1	2.32	0.92	1.85	2.49	2.77
ENSRNOG00000007084_Marchf10	0.07	0.61	0.40	0.36	0.00
ENSRNOG00000057129_AABR07049033.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056377_SNORD42	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021134_Anxa9	0.09	5.40	27.21	24.78	0.14
ENSRNOG00000053802_AABR07058899.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000053918_SNORD116	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010363_Mrps23	81.78	108.01	69.88	68.88	86.22
ENSRNOG00000051236_AABR07038801.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059585_LOC103692343	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017843_Polr3k	118.75	110.64	122.03	127.51	92.82
ENSRNOG00000004647_Il10	0.00	0.00	0.00	0.00	0.29
ENSRNOG00000046681_AABR07017769.1	1.93	4.04	0.00	2.41	0.00
ENSRNOG00000061728_AABR07072528.4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042277_AABR07016578.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002345_Rasgef1b	0.08	0.00	0.91	0.65	0.13
ENSRNOG00000053472_AABR07071487.1	0.00	0.00	0.34	0.38	0.27
ENSRNOG00000059889_AC120291.4	0.21	0.00	0.00	0.00	0.00
ENSRNOG00000054270_AABR07017604.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052730_Psmb3	422.60	763.81	520.40	478.42	325.32
ENSRNOG00000057703_Cabp7	0.00	0.05	0.02	0.14	0.04
ENSRNOG00000054723_AABR07058174.1	0.00	0.12	0.00	0.00	0.00
ENSRNOG00000053512_AABR07005790.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000031707_Tuba3a	0.09	0.00	0.00	0.20	0.08
ENSRNOG00000061180_AABR07026377.1	0.65	0.35	0.13	0.60	0.00
ENSRNOG00000058819_AABR07056767.1	0.07	0.06	0.00	0.08	0.06
ENSRNOG00000057642_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056769_AABR07012040.1	0.17	0.00	0.00	0.00	0.00
ENSRNOG00000055815_AABR07044790.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055368_Olr806	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059262_AABR07024786.1	0.06	0.00	0.00	0.64	0.00
ENSRNOG00000021916_Slc16a12	76.72	0.23	3.86	3.26	70.27
ENSRNOG00000055091_Y_RNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052345_AABR07061453.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004201_Rims2	0.47	0.28	0.43	0.51	0.19
ENSRNOG00000047453_Casd1	1.84	0.18	1.70	3.37	1.11
ENSRNOG00000059982_LOC100910599	0.00	0.20	0.00	0.00	0.00
ENSRNOG00000016029_Rb1	2.14	0.26	2.88	4.27	2.71
ENSRNOG00000049545_AABR07065631.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061827_AC120938.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061583_AABR07030690.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052039_AABR07044388.3	1.24	0.00	0.22	0.24	1.29
ENSRNOG00000056985_U4	0.00	33.15	50.40	31.52	0.00
ENSRNOG00000049010_AABR07007399.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019228_Pik3r2	4.40	1.29	12.70	9.88	2.48
ENSRNOG00000029158_LOC100362173	0.00	0.00	0.00	0.61	0.00
ENSRNOG00000017983_Ubac1	64.40	38.88	76.91	73.31	48.81
ENSRNOG00000029461_AABR07072400.1	5.35	4.21	2.79	5.39	0.00
ENSRNOG00000049112	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000051074_AABR07048422.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000047359_Olr161	0.00	0.13	0.00	0.60	0.08
ENSRNOG00000015865_Ap2s1	64.32	150.78	87.63	108.99	45.81
ENSRNOG00000031092_Rock1	5.76	8.55	10.23	11.56	6.35
ENSRNOG00000000658_Acacb	6.73	0.04	0.22	0.38	5.60
ENSRNOG00000009043_Piwil4	0.40	1.32	0.58	0.61	0.28
ENSRNOG00000050226_AABR07032277.1	2.25	0.62	0.00	1.73	0.00
ENSRNOG00000028366_Gphn	33.88	3.72	20.15	19.43	26.67
ENSRNOG00000060629_LOC103694855	3.12	16.91	0.00	0.00	16.28
ENSRNOG00000053500_AABR07046970.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006180_Pum2	15.14	12.28	18.81	16.49	17.27
ENSRNOG00000006170_Bach2	0.02	0.00	0.06	0.02	0.11
ENSRNOG00000030870_LOC102550396	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000025862_Zp3r	0.04	0.00	0.00	0.00	0.00
ENSRNOG00000002452_Txndc11	2.59	1.41	3.99	7.49	1.59
ENSRNOG00000000104_Thoc3	24.59	5.58	22.29	20.55	14.36
ENSRNOG00000051809_AC095267.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052516_AABR07034964.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042727_RGD1563159	1.65	2.60	3.58	4.87	1.85
ENSRNOG00000014982_Slc35f4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000027360_Srsf7	111.38	85.45	108.01	96.66	102.12
ENSRNOG00000025639_Slc39a12	0.00	0.00	0.00	0.00	0.12
ENSRNOG00000057978_AABR07028997.1	7.32	0.00	8.61	7.22	7.27
ENSRNOG00000004604_Slc38a10	21.21	0.45	13.25	7.77	18.99
ENSRNOG00000004004_Nrde2	1.03	0.50	0.94	1.80	1.51
ENSRNOG00000051428	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015807_Pyroxd2	124.69	6.20	25.82	23.79	115.39
ENSRNOG00000037185_AABR07058514.1	0.60	0.00	0.61	0.51	0.00
ENSRNOG00000052094_AABR07021392.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000003233_Serpinf2	2.86	0.00	0.28	1.81	13.05
ENSRNOG00000005278_Trhde	0.07	0.03	0.03	0.13	0.01
ENSRNOG00000028930_Dab2	31.61	25.11	155.17	111.29	58.55
ENSRNOG00000003401_AABR07029195.1	0.13	0.58	0.12	0.26	0.32
ENSRNOG00000060609_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060084_AC096035.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042424_Olr880	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046569_AABR07037477.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029340_Btnl8	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060542_Mid2	1.01	1.16	2.15	2.05	0.59
ENSRNOG00000057932_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054475_AABR07068007.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000022141_Ctdspl2	6.43	2.60	4.26	3.42	4.06
ENSRNOG00000015852_Arhgap35	5.31	2.53	6.83	9.27	5.19
ENSRNOG00000061080_Kmt2c	4.74	0.85	7.69	8.26	2.98
ENSRNOG00000036370_AABR07016769.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000001139_Suds3	2.99	7.04	6.30	11.44	2.91
ENSRNOG00000047226_AABR07017656.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013654_Cbln2	0.09	0.08	0.00	0.03	0.00
ENSRNOG00000032097_AABR07008025.1	0.44	0.00	0.00	0.00	0.00
ENSRNOG00000052827_AABR07052085.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000028403_Ptcd2	19.31	10.61	16.51	11.50	18.49
ENSRNOG00000052644_AABR07001060.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054228_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000008607_U2surp	16.05	8.06	18.39	18.65	12.90
ENSRNOG00000057356_AABR07072112.1	0.00	0.00	0.00	0.11	0.00
ENSRNOG00000006010_Slc6a20	2.06	0.92	16.16	10.42	7.30
ENSRNOG00000029054_Olr1128	0.00	0.86	0.00	0.00	0.00
ENSRNOG00000052360_LOC103694879	0.82	0.85	0.00	0.00	0.00
ENSRNOG00000058733_Asap1	1.83	0.04	0.32	1.32	1.55
ENSRNOG00000032771_AABR07064811.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018877_Zfp629	13.14	2.00	6.78	7.46	8.96
ENSRNOG00000056632_AABR07030568.6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016322_Camk2n1	1.35	5.79	0.00	6.83	1.62
ENSRNOG00000056615_AABR07063640.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006697_Pip4p2	28.95	33.56	70.94	56.66	26.79
ENSRNOG00000039214_Map11	0.43	0.48	1.12	1.71	0.57
ENSRNOG00000028161_Tepsin	7.69	3.31	8.32	7.29	4.96
ENSRNOG00000004104_Zkscan7	0.91	0.70	0.81	1.72	0.64
ENSRNOG00000059322_N4bp2l1	0.89	0.87	1.31	0.66	1.03
ENSRNOG00000057920_AABR07006656.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002524_Gpr37	0.27	2.18	6.60	5.14	0.41
ENSRNOG00000048904_AABR07004232.1	2.71	1.33	0.30	1.73	0.48
ENSRNOG00000007763_Plod1	5.71	0.38	2.00	2.04	3.00
ENSRNOG00000009291_Dnase1l3	0.00	0.00	0.15	0.12	0.00
ENSRNOG00000057627_U2	0.00	7.57	0.00	0.00	0.00
ENSRNOG00000056432_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014908_Sf3b5	198.26	212.11	190.25	178.21	169.49
ENSRNOG00000015160_Gem	4.63	0.53	0.67	0.87	4.34
ENSRNOG00000055743_U3	22.46	196.88	67.17	121.46	50.42
ENSRNOG00000014004_Ncoa7	4.69	1.29	6.09	7.62	7.37
ENSRNOG00000001349_Mcm7	18.09	3.06	12.49	18.61	12.74
ENSRNOG00000032300_Rpl39l	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050235_Olr1436	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059900_Bst2	1.75	1.40	0.82	1.48	5.07
ENSRNOG00000051339_AABR07039328.3	0.59	0.19	1.35	0.30	0.36
ENSRNOG00000017074_Rab28	116.85	67.04	140.80	119.99	102.66
ENSRNOG00000033402_Gsta6	10.03	4.71	5.88	5.01	13.90
ENSRNOG00000052337_7SK	0.00	0.00	0.00	0.00	1.27
ENSRNOG00000037206_Ccdc77	7.73	5.56	7.98	1.88	10.29
ENSRNOG00000018202_Spata31a5	0.02	0.00	0.02	0.22	0.05
ENSRNOG00000014992_M6pr	81.39	22.82	96.70	93.11	90.90
ENSRNOG00000052474_AABR07070714.1	0.00	0.00	0.00	0.00	0.00
