WaveLength	#38-1_T	#38-1_C	#38-10_T	#38-10_C	#38-11_T	#38-11_C	#38-12_T	#38-12_C	#38-13_T	#38-13_C	#38-14_T	#38-14_C	#38-15_T	#38-15_C	#38-16_T	#38-16_C	#38-17_T	#38-17_C	#38-18_T	#38-18_C	#38-19_T	#38-19_C	#38-2_T	#38-2_C	#38-20_T	#38-20_C	#38-21_T	#38-21_C	#38-22_T	#38-22_C	#38-23_T	#38-23_C	#38-24_T	#38-24_C	#38-25_T	#38-25_C	#38-26_T	#38-26_C	#38-27_T	#38-27_C	#38-28_T	#38-28_C	#38-29_T	#38-29_C	#38-3_T	#38-3_C	#38-30_T	#38-30_C	#38-4_T	#38-4_C	#38-5_T	#38-5_C	#38-6_T	#38-6_C	#38-7_T	#38-7_C	#38-8_T	#38-8_C	#38-9_T	#38-9_C
1489.388000	37.234631	25.122134	72.624321	83.457138	59.425477	54.955976	201.444155	228.239871	156.980006	108.999584	170.941085	192.667152	81.609639	85.196211	91.795472	117.264840	124.271260	100.096795	68.795857	106.625794	128.927265	150.488249	34.071948	43.644217	102.187210	140.673504	51.109226	54.006452	101.726525	61.481532	57.028183	61.434817	234.145217	137.326345	332.494386	284.657608	62.373546	84.531533	182.273739	229.181500	45.353726	30.200572	51.365498	51.365498	58.222264	56.163003	38.375700	38.375700	71.246823	81.869503	169.684354	193.315685	159.080453	176.646181	61.744044	104.912707	33.806636	54.230031	67.595817	79.492541
1490.520000	32.503749	21.803940	67.374886	79.242275	53.784881	49.602275	203.484781	229.358921	158.729903	106.539068	161.370551	186.122493	80.240939	81.592103	92.456557	109.268319	123.127349	97.739649	64.690972	101.880465	124.382504	149.022128	30.530694	40.051787	93.588159	134.087921	51.522245	54.839859	99.794440	65.646934	57.068017	61.519728	230.331155	140.965626	330.233421	278.391640	61.466123	82.808799	178.149158	216.322282	43.333699	28.637933	47.829375	47.829375	54.844145	53.647613	34.454038	34.454038	69.726662	76.474874	167.637911	195.329703	156.110405	178.647518	58.574994	103.482788	28.794744	51.838704	62.989985	77.405989
1491.652000	28.121170	18.796201	62.480065	75.174134	48.475326	44.829395	205.094474	232.903929	160.448018	104.446603	152.085256	179.103046	78.905105	78.052032	92.833997	101.131229	121.199641	95.421027	60.746129	97.180463	120.649095	148.927728	27.278654	36.724420	85.383392	125.670195	52.018248	55.515670	97.955836	69.646517	57.088766	61.483846	225.686384	144.259802	327.570921	271.965031	60.715619	81.326195	173.393887	203.658916	41.318156	27.203297	44.506857	44.506857	51.448542	51.210941	31.074796	31.074796	68.387817	71.278916	164.806194	196.526822	152.925804	179.502282	55.595600	102.176484	24.174278	49.666652	58.217517	75.525705
1492.784000	24.259066	16.101036	57.862919	71.257775	43.515341	40.503833	205.399176	234.156842	161.684254	102.645926	143.325321	172.469987	77.269597	74.711623	92.319785	92.909641	119.215813	92.955665	56.957678	92.563896	118.734876	149.557614	24.300068	33.682240	77.308541	116.002620	52.457143	56.061976	96.140864	73.153266	56.766308	60.965749	220.797847	147.137581	324.317060	265.383186	60.050354	79.799824	168.693458	191.452920	39.553006	25.821155	41.389706	41.389706	48.381571	48.839288	28.105656	28.105656	67.153319	66.481110	161.529418	195.838535	149.441725	178.839684	52.846207	100.863765	20.005322	47.704349	54.581785	73.856588
1493.916000	22.031382	13.682983	53.800373	67.465147	38.941021	36.548393	205.086423	234.843437	162.448377	100.966823	134.777293	165.207281	75.385484	71.720694	91.528053	84.719649	117.341983	90.350053	53.321523	88.119286	118.235286	151.453845	21.551748	30.809584	69.327025	106.614395	52.276888	55.959500	94.251524	75.504667	56.125313	59.998721	215.007167	148.684398	319.883479	259.019290	59.008284	78.133933	164.115830	179.931093	37.561368	24.228633	38.463725	38.463725	45.666069	46.505161	25.352120	25.352120	65.923754	62.159361	157.415697	194.539341	145.593593	177.718373	50.332634	99.583904	16.309692	45.920980	49.786235	72.397590
1495.048000	19.980554	11.560126	50.805857	63.826089	34.838566	33.086255	204.307405	233.909802	162.099873	99.896563	126.868312	157.779188	73.176408	68.976457	89.984250	76.655606	115.737050	87.497720	49.823498	83.842121	118.935878	154.805595	19.035292	28.011916	61.329172	97.220399	51.979196	55.741151	92.168510	76.466097	55.592234	58.809743	208.547537	149.681196	314.412277	253.019773	58.189257	76.129145	159.396087	169.506694	35.456700	22.681043	35.734137	35.734137	43.112442	44.203308	22.926172	22.926172	64.475163	58.347152	153.271091	192.811861	141.291628	176.194715	48.152967	97.826897	13.165098	44.332859	47.101431	71.552210
1496.180000	18.103132	9.750736	48.576724	60.355774	31.292287	30.198960	203.028782	231.982988	161.005450	98.876008	119.767232	150.208452	70.551786	66.531891	87.773742	68.746928	110.851900	84.364744	46.450257	80.076299	121.427794	160.698736	16.753450	25.346651	53.325030	87.524657	51.724857	55.232673	89.978924	76.957311	54.686391	57.684971	201.519142	149.486934	307.740889	247.214874	57.612191	73.817743	154.130283	160.491262	33.288554	21.155030	33.229705	33.229705	40.779627	41.918123	21.032743	21.032743	63.128351	55.067255	149.103659	189.023221	136.468890	172.736721	46.643496	95.068532	10.647547	42.938132	44.328491	70.775155
1497.312000	17.092718	8.247271	46.513789	57.056594	28.271241	27.855109	199.896501	228.959139	159.103620	97.641654	114.642280	142.563804	67.564522	64.397212	85.203526	61.082040	104.372492	81.125237	43.228439	76.296459	126.250849	168.739025	14.698805	22.819906	45.440070	77.810376	51.016252	54.123688	87.697373	76.365234	53.216343	55.917338	194.012060	149.018522	299.973875	241.603930	56.815513	71.303521	148.654239	152.798327	31.045214	19.478121	30.948129	30.948129	38.799809	39.659208	19.359564	19.359564	61.874630	52.338121	144.520987	182.474948	131.170527	166.779754	45.094589	92.269383	8.725416	41.680238	42.678374	69.950538
1498.444000	17.410060	7.087580	44.704651	53.931751	25.737753	26.012206	196.502943	224.717750	156.695759	96.708976	109.204824	134.899525	64.301315	62.685841	82.100178	53.730798	97.018255	77.789322	40.190853	72.569610	133.297113	178.330938	12.887199	20.460881	37.799839	68.191218	49.720513	52.117133	85.268110	74.774008	51.275010	53.603257	186.124521	147.123581	291.326687	236.200137	55.816328	68.883955	143.026150	146.331572	28.844532	17.631496	28.854606	28.854606	36.721781	37.452390	17.887667	17.887667	60.335794	50.560525	139.174995	174.427330	125.498391	159.441725	43.520547	89.667113	7.345584	40.583452	40.829290	68.914934
1499.576000	18.219051	6.112803	44.046074	50.956481	23.660873	24.691601	193.099745	218.933891	153.515708	96.016838	103.570118	127.361648	60.817447	61.190820	78.444277	46.718457	89.476706	74.301224	37.376188	69.006921	141.611161	188.979556	11.315281	18.285426	30.693069	58.920374	48.152224	49.647251	82.762024	72.219995	49.139279	51.019964	177.784609	144.707038	281.889934	230.918934	54.745895	65.911656	137.298602	140.687639	26.688456	15.761346	26.940616	26.940616	34.577787	35.301723	16.616550	16.616550	58.619759	48.803190	133.548330	165.190812	119.528203	150.985434	42.508537	87.164296	6.516340	39.735175	39.304305	68.528510
